Job Number,Position,Company,Location,Status,Date Applied
1,Software Developer (Rust),SOUTHEASTERN CYBER LLC,Remote,Applied,2025-12-28
2,Business Objects(BO)/SQL Developer,CLOUDSCOUTS,Remote,Applied,2025-12-28
3,VBA Developer,NTT DATA,Remote,Applied,2025-12-28
4,ATG Developer,CLOUDSCOUTS,Remote,Applied,2025-12-28
5,Full Stack Developer,Core-CSI LLC,Remote,Applied,2025-12-28
6,Software Reliability Engineer WMS,Lineage Logistics,Remote,Applied,2025-12-28
7,Mainframe Systems Programmer,Noblesoft Technologies Inc.,Remote,Applied,2025-12-28
8,Flink Software Engineer,Epro Infosystems LLC,Remote - Fremont CA,Applied,2025-12-28
9,Sr. Software Engineer (Full-Stack Frontend-Leaning),TechSmart,Remote - Seattle WA,Applied,2025-12-28
10,Experienced React Developer - Contract Role,Stack Builders,Remote - New York NY,Applied,2025-12-28
11,Freelance Data Engineer (AI & ML Focus),Datinit LLC,Remote,Applied,2025-12-28
12,Full Stack AI Engineer (Contract-to-Hire),Wanamaker Group,Remote,Applied,2025-12-28
13,Machine Learning Engineer ($120/hr),YO IT CONSULTING,Remote,Applied,2025-12-28
14,AI Engineer,AKIVA,Remote,Applied,2025-12-28
15,Ai Engineer,Akiva Technologies LLC,Remote,Applied,2025-12-28
16,Staff Software Engineer AI,Spot AI,Remote - San Francisco CA,Applied,2025-12-28
17,AI/LLM Engineer (remote),Safe Sign Technologies,Remote - Cambridge MA,Applied,2025-12-28
18,Founding AI / Backend Engineer (Healthcare Agentic Systems),TurnKey AI Practice,Remote,Applied,2025-12-28
19,AI Data Engineer,Clinical Ink,Remote US,Applied,2025-12-28
20,Mid-Level Software Engineer Full Stack,AI Front Desk,Texas (Remote),Rejected,2025-12-28
21,Automation & RMM Engineer (Level 2/3),ACC Technical Services Inc.,Remote,Rejected,2025-12-28
22,DevOps Engineer,Intrinsic Digital Marketing,Remote,Applied,2025-12-28
23,Backend/DevOps Engineer,Nick AI,Remote,Applied,2025-12-28
24,Mid-Level DevOps Engineer,Knowledge Management Inc.,Washington DC (Remote),Applied,2025-12-28
25,Cloud Full Stack Python Software Engineer,Railroad19 Inc.,Remote,Applied,2025-12-28
26,Network Engineer III,Fenix24,Remote,Applied,2025-12-28
27,Wherescape Data Engineer,Advanced Business Horizons,Remote,Applied,2025-12-28
28,Systoc Administrator,Wizpro Inc,Remote,Applied,2025-12-28
29,Cloud Developer (Work From Home),iCXeed,Remote,Applied,2025-12-28
30,Reverse Engineer,TipTop Retro Games,Remote,Applied,2025-12-28
31,ML Engineer,VeriPark,Remote,Applied,2025-12-28
32,ML Engineer,Mitchell Martin,Remote,Applied,2025-12-28
33,ML Engineer,FinTech AI & Blockchain Startup,Remote,Applied,2025-12-28
34,ML Engineer,FinTech AI & Blockchain Startup,Remote,Applied,2025-12-28
35,ML Engineer,TiDB/PingCAP,Remote,Applied,2025-12-28
36,ML Engineer,James Search Group,Remote,Applied,2025-12-28
